monthly_fee,usage_hours,support_requests,account_age_months,failed_payments,region,device_type,payment_method,autopay_enabled,churn
9.99,27.92,1,14,1,america,desktop,card,1,1
19.99,21.48,2,1,0,america,mobile,card,1,0
19.99,17.08,0,23,1,europe,mobile,card,0,0
9.99,18.43,0,19,0,asia,desktop,card,0,0
9.99,26.90,1,11,0,europe,mobile,card,0,0
29.99,10.85,2,8,0,europe,desktop,card,1,0
29.99,34.26,0,1,0,america,desktop,card,1,0
29.99,40.22,1,1,0,europe,mobile,paypal,0,1
19.99,20.27,2,11,1,america,mobile,card,0,0
9.99,20.72,0,14,0,america,mobile,card,1,0
29.99,39.53,0,24,0,america,mobile,card,0,1
49.99,20.44,1,9,0,africa,desktop,card,1,0
19.99,29.72,2,1,0,asia,mobile,card,1,0
29.99,20.49,1,9,0,america,desktop,crypto,1,0
49.99,25.68,0,1,0,africa,tablet,paypal,0,0
49.99,34.48,0,3,0,europe,mobile,card,1,0
19.99,35.67,1,14,0,europe,mobile,card,1,0
19.99,16.55,0,6,0,asia,mobile,card,0,0
49.99,4.18,1,1,0,europe,mobile,card,0,1
19.99,14.65,0,15,1,america,mobile,paypal,0,1
9.99,42.41,0,14,0,asia,mobile,card,1,0
49.99,18.33,2,3,0,africa,tablet,card,0,1
29.99,20.70,1,11,0,europe,mobile,card,0,0
9.99,23.96,0,16,1,america,mobile,card,0,0
9.99,12.37,0,3,0,africa,mobile,paypal,1,0
29.99,0.00,1,13,0,america,mobile,card,1,0
19.99,38.84,0,17,0,europe,desktop,paypal,0,0
9.99,13.72,0,15,0,america,mobile,paypal,0,0
29.99,7.42,0,15,1,europe,mobile,paypal,0,1
49.99,21.44,0,9,0,africa,mobile,card,0,0
9.99,38.45,1,20,0,america,mobile,card,1,0
9.99,25.53,0,12,0,america,desktop,card,0,0
19.99,38.03,0,18,0,europe,desktop,card,0,0
19.99,18.15,2,24,1,america,mobile,paypal,1,0
19.99,22.49,2,6,0,europe,desktop,card,1,0
29.99,24.59,0,16,0,africa,mobile,card,1,0
29.99,0.00,2,24,1,europe,mobile,card,1,0
19.99,17.50,1,8,0,europe,desktop,paypal,1,0
49.99,12.88,2,7,0,america,mobile,paypal,1,0
49.99,19.73,0,10,1,asia,desktop,card,1,0
49.99,26.88,0,10,0,europe,desktop,card,1,0
19.99,16.67,0,12,0,europe,mobile,paypal,1,0
19.99,18.06,0,8,0,america,desktop,paypal,0,0
19.99,31.30,3,9,0,europe,desktop,card,0,0
29.99,40.04,0,2,0,asia,desktop,card,0,0
49.99,4.12,1,15,0,america,mobile,card,1,0
19.99,18.81,1,7,0,europe,desktop,paypal,1,0
49.99,14.12,1,1,1,asia,desktop,paypal,0,1
9.99,27.88,0,1,1,america,mobile,paypal,0,0
49.99,22.04,2,19,0,america,mobile,card,1,0
9.99,31.16,0,10,0,asia,desktop,card,1,0
49.99,12.14,2,2,1,america,mobile,card,1,0
29.99,20.61,1,14,0,europe,mobile,paypal,0,0
49.99,13.75,0,14,1,america,mobile,card,0,1
19.99,24.67,0,18,0,america,tablet,card,0,1
19.99,33.80,2,18,0,europe,tablet,paypal,1,0
29.99,33.11,1,20,0,asia,mobile,card,0,0
19.99,5.05,1,18,0,america,mobile,card,1,0
29.99,16.71,1,17,0,asia,desktop,card,0,0
49.99,23.75,0,15,1,europe,desktop,paypal,1,1
19.99,33.70,1,1,0,america,desktop,card,0,1
19.99,13.84,1,8,0,asia,mobile,crypto,1,0
49.99,19.00,1,15,0,europe,mobile,paypal,1,0
49.99,17.79,2,12,0,africa,desktop,card,1,0
19.99,15.88,3,1,0,europe,desktop,card,0,0
49.99,10.95,1,17,0,america,mobile,card,1,0
9.99,30.57,2,15,0,europe,mobile,card,1,0
49.99,9.70,1,27,0,europe,desktop,card,0,0
19.99,14.47,0,17,0,asia,mobile,card,0,0
9.99,21.82,2,9,0,america,tablet,paypal,0,0
19.99,8.82,1,1,0,america,mobile,card,1,0
29.99,9.57,1,9,1,europe,mobile,card,1,0
29.99,18.18,0,13,1,america,mobile,card,0,0
9.99,20.51,0,3,0,europe,tablet,card,0,0
49.99,14.80,1,4,0,europe,desktop,card,0,0
9.99,11.66,1,2,2,asia,mobile,crypto,0,0
49.99,31.39,1,5,0,asia,mobile,card,1,0
49.99,39.44,2,7,0,europe,mobile,card,1,0
9.99,15.15,1,16,0,america,mobile,card,0,0
19.99,14.61,1,15,1,america,mobile,card,0,0
29.99,30.90,0,14,0,europe,mobile,crypto,1,0
49.99,12.87,2,3,0,europe,mobile,card,1,0
49.99,35.91,1,7,0,europe,desktop,paypal,0,0
9.99,38.19,2,10,0,america,mobile,paypal,1,0
19.99,35.55,1,10,1,europe,mobile,card,0,0
29.99,5.39,0,2,0,america,mobile,card,1,1
9.99,15.83,1,1,0,asia,desktop,paypal,1,0
29.99,13.31,1,12,1,america,mobile,card,0,0
19.99,6.77,1,13,1,asia,desktop,paypal,1,1
19.99,41.55,2,18,0,africa,desktop,card,1,0
49.99,27.68,1,7,0,america,mobile,paypal,1,1
9.99,34.00,0,20,0,america,mobile,paypal,1,0
29.99,13.00,0,3,0,america,tablet,card,1,0
29.99,19.52,0,8,1,europe,mobile,card,0,0
29.99,23.73,0,16,0,america,desktop,card,1,0
19.99,20.19,0,6,0,europe,desktop,card,1,0
29.99,9.28,0,6,0,asia,desktop,paypal,1,0
9.99,2.50,0,6,1,america,desktop,card,0,0
9.99,35.44,2,8,1,europe,desktop,card,1,0
49.99,6.26,0,20,0,america,desktop,paypal,1,0
19.99,0.00,1,14,0,america,mobile,crypto,1,0
19.99,43.91,0,13,0,europe,desktop,crypto,1,0
19.99,21.56,0,16,0,asia,desktop,card,0,0
9.99,15.09,3,21,0,america,mobile,paypal,1,0
19.99,18.49,0,11,0,asia,mobile,card,1,0
9.99,13.24,1,2,0,africa,desktop,card,0,1
49.99,26.05,0,21,1,asia,desktop,card,1,1
29.99,10.11,1,9,1,asia,desktop,card,0,0
19.99,1.06,1,1,1,europe,desktop,card,1,1
19.99,15.62,0,14,0,asia,desktop,card,1,1
29.99,15.05,0,25,0,asia,tablet,card,1,0
9.99,13.90,0,8,0,europe,desktop,card,0,0
49.99,35.25,0,16,0,america,mobile,paypal,0,0
19.99,17.53,2,18,0,europe,mobile,card,1,0
9.99,30.31,1,5,0,europe,mobile,card,0,0
9.99,29.37,2,15,0,asia,mobile,card,1,0
9.99,17.27,1,7,0,asia,mobile,card,0,1
19.99,17.81,1,15,0,europe,mobile,paypal,1,0
19.99,1.07,0,13,0,america,mobile,card,0,0
49.99,5.92,0,8,0,europe,mobile,paypal,0,0
29.99,36.41,2,12,1,asia,mobile,card,1,0
19.99,32.56,1,6,0,america,mobile,crypto,0,1
9.99,24.02,1,1,0,america,mobile,paypal,1,0
49.99,11.33,0,1,0,europe,tablet,card,1,0
29.99,23.84,0,10,0,asia,mobile,card,1,0
9.99,11.08,0,2,0,america,desktop,card,0,0
29.99,10.68,0,20,0,america,desktop,crypto,1,0
9.99,20.15,2,2,0,europe,mobile,card,1,0
9.99,23.52,0,15,0,america,mobile,paypal,0,0
19.99,13.39,2,16,0,africa,desktop,card,1,0
29.99,6.61,0,10,0,america,tablet,crypto,0,1
49.99,18.08,0,4,2,europe,desktop,card,0,1
29.99,22.58,0,13,0,america,mobile,card,0,1
49.99,23.57,1,8,0,africa,desktop,card,1,0
49.99,7.17,0,13,0,europe,tablet,paypal,0,1
49.99,12.10,1,4,0,africa,desktop,paypal,1,0
49.99,28.94,0,24,1,america,mobile,paypal,1,0
19.99,22.14,0,24,0,america,tablet,card,1,0
49.99,29.69,0,30,0,america,desktop,paypal,1,0
49.99,18.18,0,9,0,europe,mobile,card,0,0
49.99,26.31,1,11,0,asia,desktop,card,1,0
9.99,11.16,0,10,0,europe,mobile,card,1,0
29.99,31.13,1,1,0,asia,mobile,card,0,0
29.99,19.84,0,17,0,america,mobile,card,0,1
29.99,2.43,0,18,1,asia,desktop,card,0,1
49.99,26.53,1,16,0,europe,mobile,card,0,0
9.99,20.13,0,3,1,america,mobile,card,1,0
49.99,27.80,0,21,0,asia,tablet,card,0,0
9.99,0.00,2,14,0,europe,mobile,card,1,0
19.99,16.56,0,27,0,europe,tablet,card,0,0
9.99,15.15,0,1,0,europe,mobile,paypal,0,0
19.99,35.84,1,6,0,asia,desktop,card,0,0
9.99,9.02,0,2,0,europe,mobile,paypal,1,0
9.99,19.43,1,1,1,europe,tablet,card,1,0
49.99,27.38,2,26,0,africa,tablet,card,0,0
29.99,35.15,0,7,0,america,desktop,card,1,0
19.99,20.97,2,5,1,asia,tablet,card,0,1
49.99,35.93,0,1,0,america,mobile,crypto,0,0
29.99,33.01,2,1,0,america,mobile,card,0,0
19.99,18.02,1,17,0,africa,mobile,card,1,0
29.99,26.00,1,2,0,europe,tablet,card,0,0
29.99,27.07,0,12,0,europe,desktop,card,0,0
49.99,18.17,0,19,0,america,mobile,card,0,0
49.99,23.15,1,3,0,europe,desktop,card,0,0
29.99,25.23,0,4,1,europe,mobile,card,1,1
29.99,38.82,0,1,1,africa,desktop,paypal,0,1
19.99,7.98,1,5,0,europe,tablet,card,0,1
29.99,27.75,1,1,0,america,mobile,card,1,1
29.99,17.61,0,6,0,asia,mobile,card,1,0
29.99,26.37,0,8,0,europe,mobile,crypto,1,0
19.99,23.75,2,9,0,europe,mobile,card,1,0
19.99,13.52,2,24,2,america,mobile,card,0,0
29.99,18.19,1,10,0,asia,mobile,paypal,0,0
49.99,18.58,2,22,0,europe,mobile,card,1,0
49.99,29.05,2,31,0,europe,mobile,card,1,0
49.99,6.25,0,1,0,america,desktop,card,1,0
49.99,11.43,0,20,1,europe,mobile,paypal,0,0
29.99,14.97,0,12,1,europe,tablet,card,1,0
49.99,16.21,1,25,0,europe,mobile,card,1,0
29.99,37.34,0,10,0,america,mobile,card,1,0
19.99,23.74,0,6,0,europe,desktop,card,1,0
19.99,17.87,0,1,0,europe,desktop,card,1,0
49.99,8.19,0,1,0,america,mobile,card,1,0
19.99,4.36,0,28,0,europe,desktop,card,0,0
49.99,21.52,0,11,0,europe,mobile,card,0,0
29.99,13.52,3,3,0,africa,desktop,card,1,1
19.99,18.29,0,11,0,europe,mobile,card,1,0
49.99,25.60,0,22,0,europe,mobile,card,1,0
19.99,12.56,1,6,1,asia,mobile,card,1,0
49.99,16.44,1,1,0,america,mobile,card,0,1
19.99,21.03,1,19,1,america,mobile,card,1,0
19.99,21.12,0,1,0,asia,mobile,card,0,1
19.99,14.89,0,7,1,europe,mobile,card,1,0
9.99,8.51,1,9,0,asia,desktop,paypal,1,0
19.99,17.32,0,10,0,africa,tablet,card,0,1
49.99,22.30,1,3,0,africa,mobile,paypal,1,0
49.99,9.24,2,6,0,america,mobile,card,1,0
19.99,28.54,0,20,0,america,mobile,card,1,0
19.99,16.22,3,11,0,america,mobile,paypal,0,1
19.99,32.24,1,1,0,america,mobile,card,1,0
9.99,40.20,3,13,2,asia,mobile,paypal,0,1
19.99,32.09,0,6,0,asia,mobile,paypal,1,0
49.99,28.79,1,7,0,asia,desktop,card,1,0
49.99,20.41,1,14,0,asia,mobile,card,1,0
49.99,20.30,1,1,0,america,mobile,paypal,1,1
9.99,24.53,0,12,0,asia,mobile,paypal,1,0
9.99,21.54,1,11,0,america,tablet,card,0,0
19.99,3.63,0,4,0,europe,mobile,card,1,1
49.99,20.64,0,14,0,europe,desktop,paypal,1,0
49.99,18.15,1,13,1,europe,mobile,paypal,1,0
49.99,34.01,0,7,0,america,mobile,paypal,1,0
9.99,1.10,0,25,0,europe,mobile,card,0,1
19.99,31.85,1,4,1,america,desktop,card,1,1
49.99,32.24,1,8,2,europe,desktop,card,0,0
9.99,30.61,0,12,1,europe,mobile,paypal,1,0
49.99,0.00,0,13,1,america,desktop,paypal,0,1
49.99,11.85,1,3,0,europe,desktop,card,1,0
9.99,37.70,0,14,2,america,mobile,card,0,0
29.99,30.38,0,29,0,europe,tablet,card,0,0
49.99,27.61,0,2,0,america,desktop,card,1,0
9.99,0.00,0,20,0,america,mobile,paypal,0,1
29.99,27.85,1,21,0,europe,tablet,card,0,0
9.99,21.16,0,12,0,europe,mobile,paypal,1,0
29.99,20.80,1,9,1,europe,mobile,card,1,0
49.99,23.45,1,1,0,america,desktop,card,1,0
19.99,14.52,0,8,0,europe,mobile,card,1,0
49.99,21.93,0,24,0,asia,desktop,card,1,1
49.99,13.13,2,14,0,europe,desktop,paypal,0,1
29.99,7.71,0,7,0,europe,mobile,paypal,0,0
19.99,16.28,1,13,0,africa,mobile,crypto,1,0
9.99,30.65,0,9,0,europe,desktop,paypal,0,0
49.99,25.45,1,11,0,asia,mobile,card,1,0
49.99,2.97,0,1,1,asia,desktop,card,0,1
29.99,26.91,2,1,0,america,tablet,card,0,1
9.99,19.34,2,1,0,asia,mobile,card,0,0
19.99,18.75,1,18,0,africa,mobile,paypal,1,0
49.99,22.59,0,9,0,america,mobile,card,1,0
9.99,28.43,0,9,0,africa,mobile,card,1,0
49.99,21.16,2,16,1,asia,mobile,card,1,0
49.99,26.95,1,9,1,america,mobile,paypal,1,0
19.99,12.47,1,18,0,america,mobile,card,1,0
49.99,6.43,0,10,0,america,mobile,card,1,0
19.99,16.14,1,3,0,asia,mobile,card,1,0
19.99,9.08,0,16,0,asia,mobile,card,1,1
49.99,31.56,0,1,0,asia,desktop,card,1,1
19.99,17.90,1,7,0,asia,desktop,paypal,1,0
9.99,18.60,2,21,0,america,desktop,card,1,0
19.99,8.73,4,4,0,america,mobile,crypto,0,1
29.99,28.82,0,2,0,america,desktop,paypal,1,0
19.99,13.03,2,10,0,america,tablet,card,1,0
49.99,47.29,0,14,0,america,mobile,paypal,0,0
49.99,6.90,1,11,1,asia,desktop,paypal,1,0
29.99,13.03,0,3,0,asia,desktop,paypal,1,0
29.99,30.48,0,1,1,america,mobile,card,1,0
19.99,9.46,0,5,1,europe,mobile,paypal,1,1
19.99,19.66,1,17,0,america,mobile,card,1,0
29.99,27.87,1,22,0,america,mobile,card,0,0
49.99,11.27,0,21,0,europe,mobile,card,1,0
9.99,30.45,0,14,0,europe,desktop,card,1,0
19.99,6.43,2,20,0,america,mobile,card,0,1
29.99,17.58,0,16,0,america,desktop,card,1,0
49.99,13.69,1,13,0,america,mobile,card,0,0
9.99,28.46,0,8,1,asia,desktop,card,1,0
19.99,15.11,1,1,0,asia,tablet,crypto,0,1
49.99,9.95,2,13,0,america,mobile,card,1,1
9.99,29.56,0,9,1,america,mobile,card,0,0
19.99,18.52,1,6,0,america,mobile,card,0,0
9.99,16.04,1,17,0,europe,tablet,card,0,1
19.99,31.47,2,10,0,africa,mobile,paypal,0,0
19.99,19.97,0,11,0,america,mobile,card,1,0
9.99,8.05,1,26,0,europe,mobile,paypal,0,0
9.99,21.61,2,27,0,europe,mobile,card,1,0
9.99,0.00,0,11,0,europe,mobile,paypal,1,1
29.99,30.94,2,17,0,asia,mobile,card,0,0
29.99,14.08,2,17,0,asia,mobile,card,1,0
49.99,37.29,0,10,0,america,mobile,paypal,1,0
9.99,20.52,0,3,0,america,mobile,card,1,0
9.99,25.46,0,11,0,europe,desktop,card,0,0
9.99,9.63,0,6,0,asia,mobile,card,1,0
29.99,28.93,0,15,0,asia,mobile,paypal,1,0
9.99,23.36,1,4,0,asia,tablet,card,1,0
9.99,35.30,1,7,1,america,mobile,paypal,1,0
29.99,17.48,1,7,1,europe,tablet,paypal,1,0
9.99,2.46,1,12,0,america,tablet,card,0,1
9.99,13.27,0,12,0,europe,tablet,card,1,0
29.99,37.15,2,29,0,asia,desktop,card,1,0
29.99,21.42,1,8,1,europe,desktop,card,1,0
49.99,27.51,1,15,0,america,mobile,card,0,0
49.99,21.88,0,3,0,africa,mobile,card,1,0
19.99,37.94,1,9,1,asia,mobile,card,1,0
19.99,15.65,0,19,0,europe,tablet,card,0,0
29.99,48.37,0,14,0,europe,desktop,card,1,0
29.99,32.19,0,7,0,africa,desktop,card,1,0
9.99,32.73,1,21,0,europe,desktop,paypal,1,0
29.99,25.26,1,10,0,europe,mobile,card,1,0
49.99,12.23,0,2,2,america,mobile,card,1,1
29.99,22.23,2,15,0,america,mobile,paypal,0,0
49.99,30.16,0,7,0,europe,desktop,card,0,1
49.99,30.49,2,13,2,europe,desktop,card,0,0
29.99,12.59,1,12,0,europe,mobile,card,1,0
19.99,28.72,0,4,0,europe,mobile,paypal,0,0
19.99,2.91,1,13,0,europe,mobile,card,0,1
9.99,0.00,0,20,0,america,mobile,card,0,1
49.99,22.55,1,13,0,america,desktop,paypal,1,0
19.99,28.23,1,3,0,europe,mobile,card,0,0
49.99,20.71,1,15,0,europe,desktop,card,1,0
29.99,30.53,1,18,1,europe,mobile,card,1,0
29.99,14.74,0,10,0,america,desktop,card,0,0
9.99,29.98,0,3,0,america,mobile,paypal,1,1
9.99,0.00,0,15,0,america,mobile,paypal,1,0
19.99,21.87,0,1,1,asia,tablet,card,0,1
9.99,30.89,1,1,0,asia,tablet,card,0,0
49.99,24.33,1,2,0,africa,mobile,card,0,0
29.99,25.64,0,6,0,asia,mobile,card,0,0
49.99,40.37,1,9,0,america,tablet,paypal,1,0
29.99,12.81,2,19,0,africa,mobile,card,0,0
29.99,18.74,2,8,0,europe,desktop,paypal,0,0
9.99,14.14,0,8,1,europe,desktop,paypal,1,0
19.99,23.94,0,1,0,america,mobile,paypal,1,0
9.99,16.88,0,3,0,africa,mobile,card,1,0
29.99,19.90,0,10,1,europe,mobile,crypto,0,0
19.99,18.77,2,25,0,america,mobile,paypal,0,0
9.99,22.25,2,23,0,america,mobile,paypal,0,0
19.99,5.29,1,15,0,europe,mobile,card,0,0
29.99,18.57,1,33,1,america,desktop,card,0,0
29.99,24.56,2,12,0,america,desktop,card,1,0
9.99,0.63,0,11,1,europe,mobile,paypal,1,1
19.99,14.44,0,1,0,europe,mobile,card,0,0
29.99,24.28,1,11,1,america,mobile,card,1,1
29.99,23.38,2,1,1,europe,mobile,card,1,1
9.99,13.52,1,20,1,asia,mobile,paypal,1,0
29.99,9.07,1,19,0,europe,desktop,paypal,1,0
19.99,18.66,1,6,0,america,mobile,card,0,0
19.99,9.34,0,1,1,europe,mobile,card,1,1
29.99,20.53,0,12,0,america,mobile,paypal,1,0
29.99,29.28,2,10,0,america,mobile,card,0,0
29.99,31.60,0,12,0,africa,desktop,card,1,0
19.99,18.67,0,15,0,america,mobile,paypal,1,0
9.99,17.40,0,23,1,europe,mobile,card,1,0
19.99,24.20,2,20,0,europe,mobile,card,0,0
9.99,6.17,0,9,1,asia,desktop,paypal,0,0
29.99,17.59,0,21,0,europe,tablet,card,1,0
9.99,27.59,0,14,0,asia,desktop,card,1,0
29.99,19.72,1,18,0,america,mobile,card,1,0
9.99,25.45,1,7,0,america,tablet,card,0,0
29.99,24.14,1,18,0,europe,desktop,paypal,0,0
9.99,30.83,2,27,0,europe,tablet,card,1,0
49.99,22.51,0,22,0,america,desktop,card,1,0
49.99,27.47,1,7,1,america,desktop,card,1,0
29.99,4.84,0,5,0,america,mobile,card,0,1
9.99,43.28,1,3,0,asia,mobile,paypal,1,0
29.99,26.75,1,6,0,europe,mobile,paypal,1,0
49.99,8.67,3,11,0,asia,mobile,card,0,0
29.99,29.91,0,7,0,europe,desktop,paypal,0,0
49.99,18.02,0,8,0,america,mobile,card,0,0
29.99,19.09,0,14,0,america,desktop,card,0,0
49.99,24.00,2,14,0,america,mobile,card,0,1
49.99,7.13,1,1,0,europe,desktop,card,1,0
19.99,17.79,0,13,0,america,desktop,card,0,0
19.99,16.20,3,20,0,europe,mobile,paypal,0,0
29.99,14.44,0,8,0,america,mobile,card,0,0
19.99,4.61,0,10,0,europe,mobile,card,0,0
29.99,27.52,0,15,0,europe,mobile,card,1,0
29.99,17.71,0,24,0,europe,mobile,card,1,0
19.99,19.39,0,13,1,america,mobile,card,0,0
29.99,23.25,0,11,0,america,desktop,card,1,0
29.99,20.40,0,1,0,africa,mobile,card,0,1
19.99,19.53,0,18,0,europe,mobile,paypal,1,0
19.99,42.26,1,1,0,america,desktop,card,0,0
9.99,21.86,0,12,0,europe,mobile,card,1,0
19.99,30.97,0,8,0,africa,desktop,card,1,0
9.99,26.92,1,12,1,africa,mobile,card,0,0
9.99,10.60,1,8,2,america,mobile,paypal,1,1
19.99,18.23,1,29,1,america,mobile,card,1,0
19.99,26.95,0,19,0,america,tablet,paypal,0,0
19.99,35.71,1,15,0,europe,mobile,card,0,0
49.99,9.24,1,10,0,america,mobile,card,0,0
9.99,18.82,0,15,0,america,mobile,card,0,0
49.99,21.10,0,15,0,america,desktop,paypal,1,0
29.99,10.22,0,15,0,europe,tablet,card,1,0
9.99,11.02,0,8,0,europe,desktop,paypal,1,0
19.99,23.75,1,14,0,europe,desktop,paypal,0,0
49.99,17.60,0,9,0,europe,mobile,crypto,1,0
19.99,31.24,1,17,0,asia,desktop,card,1,0
29.99,28.95,0,15,0,america,desktop,card,1,0
29.99,28.03,0,7,0,asia,mobile,card,0,0
19.99,25.13,0,10,0,america,desktop,paypal,0,0
49.99,20.83,0,18,0,america,mobile,card,1,0
29.99,27.86,1,18,0,europe,mobile,crypto,0,0
19.99,14.07,1,23,0,africa,desktop,card,1,0
49.99,20.90,1,13,1,asia,desktop,card,0,0
9.99,28.78,0,9,0,america,desktop,card,1,0
49.99,10.35,2,16,0,europe,tablet,card,1,0
49.99,25.53,0,28,0,asia,mobile,card,1,0
19.99,9.70,2,16,0,america,desktop,card,1,1
19.99,13.81,0,12,0,asia,mobile,card,0,1
19.99,19.67,1,22,0,asia,mobile,paypal,0,0
